op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
73,LinearOffChipLoad,LinearOffChipLoad_73,0.0,0,0.0,305.0,108,-197.0,305.0,108,-197.0,4.0,4,20.75,0,27,27,0,0,27
74,RepeatStatic,RepeatStatic_74,,27,,,432,,,405,,,16,,0,27,27,0,0,27
75,LinearOffChipLoad,LinearOffChipLoad_75,0.0,0,0.0,1708.0,400,-1308.0,1708.0,400,-1308.0,16.0,16,20.25,0,25,25,0,0,25
76,BinaryMap,BinaryMap_76 (fn: Matmul),23.0,27,4.0,2071.0,2075,4.0,2048.0,2048,0.0,16.0,16,128.0,128,128,128,0,0,155
77,OffChipStore,OffChipStore_77,152.0,155,3.0,2080.0,2084,4.0,1928.0,1929,1.0,16.0,16,8.8125,0,128,128,128,0,164
